1769553035173331200,43,0
1769553035223211008,57,1
1769553035273294336,53,1
1769553035324801792,82,0
1769553035373294080,87,1
1769553035423258112,69,1
1769553035473165056,95,1
1769553035523127296,116,1
1769553035573274112,139,1
1769553035623221504,142,1
1769553035673180928,154,1
1769553035731807744,163,1
1769553035773104640,168,1
1769553035823248128,179,1
1769553035873258496,190,1
1769553035923184896,178,1
1769553035973267200,171,1
1769553036023201024,179,1
1769553036073229568,175,1
1769553036123173120,167,1
1769553036173248768,180,1
1769553036223153664,147,1
1769553036273241856,128,0
1769553036323341568,128,1
1769553036373206272,115,0
1769553036423131136,121,1
1769553036473225216,106,0
1769553036523689216,125,1
1769553036573213440,141,0
1769553036623106816,138,1
1769553036673256192,127,0
1769553036723122688,156,1
1769553036773216768,127,1
1769553036824215296,128,0
1769553036873200640,135,1
1769553036926032640,109,1
1769553036973186304,95,0
1769553037023115264,115,1
1769553037108531456,122,1
1769553037145297408,139,0
1769553037173111552,137,1
1769553037223189248,136,0
1769553037273117696,151,1
1769553037323220992,122,0
1769553037376955648,131,1
1769553037423190016,127,0
1769553037473151232,130,1
1769553037523226624,96,0
1769553037576951040,128,1
1769553037623204352,116,0
1769553037673139456,130,1
1769553037723202048,114,0
1769553037773403648,120,1
1769553037823217664,98,0
1769553037873335040,113,1
1769553037923206400,99,0
1769553037975787520,105,1
1769553038023184896,91,0
1769553038073112064,108,1
1769553038123228416,102,0
1769553038178524928,113,1
1769553038223192320,97,0
